processId,id,filename,title,DOCTYPE,DATE,STATES,AGENCY
1874.0,17289,EisDocuments-334522,Surveying and Mapping Projects in United States Waters for Coastal and Marine Data Acquisition,Draft,June 2021,,National Oceanic and Atmospheric Administration
155.0,17313,EisDocuments-332959,Caribou-Targhee National Forest and Curlew National Grassland Integrated Weed Management Analysis,Final,June 2021,,Forest Service
8000118.0,17327,EisDocuments-332686,El Camino Real Roadway Renewal Project,Draft,June 2021,CA,California Department of Transportation
969.0,17354,EisDocuments-334344,Marcus Hook Electric Compression Project,Draft,June 2021,,Federal Energy Regulatory Commission
278.0,17355,EisDocuments-334369,Coosa River Hydroelectric Project,Draft,June 2021,,Federal Energy Regulatory Commission
755.0,17358,EisDocuments-332752,Invasive and Other Select Plant Management on the Bighorn NF,Draft,June 2021,WY,Forest Service
413.0,17360,EisDocuments-332880,Enhancement by Compression Project,Draft,June 2021,,Federal Energy Regulatory Commission
892.0,17364,EisDocuments-332975,Little Cottonwood Canyon Environmental Impact Statement Wasatch Boulevard to Alta,Draft,June 2021,UT,Utah Department of Transportation
546.0,17387,EisDocuments-332821,Gold Butterfly Project,Draft Supplement,June 2021,MT,Forest Service
55.0,17241,EisDocuments-332181,"BNSF Railway Bridge 196.6 Project across the Missouri River, Morton and Burleigh Counties, Between Bismarck and Mandan, North Dakota",Draft,June 2021,ND,U.S. Coast Guard
924.0,17283,EisDocuments-332341,"Lower Cache Creek, Yolo County, Woodland and Vicinity, CA, Flood Risk Management Feasibility Study",Final,June 2021,CA,U.S. Army Corps of Engineers
1828.0,17310,EisDocuments-332457,"St. Tammany Parish, Louisiana Feasibility Study",Draft,June 2021,LA,U.S. Army Corps of Engineers
,17311,EisDocuments-332097,Whitewater River Groundwater Replenishment Facility Right of Way Project,Draft,June 2021,CA,Bureau of Land Management
,17329,EisDocuments-331381,Western Rail Yard Infrastructure Project,Draft,June 2021,NY,Federal Railroad Administration
659.0,17380,EisDocuments-331681,Hudson Tunnel Project - Combined Final Environmental Impact Statement/Record of Decision and Final Section 4(f) Evaluation,Final,June 2021,,Federal Railroad Administration
1786.0,17257,EisDocuments-330476,Southern Bighorn Solar Projects,Final,June 2021,NV,Bureau of Indian Affairs
,17294,EisDocuments-329780,U.S. Food and Drug Administration Muirkirk Road Campus Master Plan,Draft,June 2021,MD,General Services Administration
,17306,EisDocuments-329666,"American River Watershed Common Features Water Resources Development Act of 2016, American River Contract 2",Draft Supplement,June 2021,CA,U.S. Army Corps of Engineers
272.0,17330,EisDocuments-329441,Construction and Operation of a Currency Production Facility within the National Capital Region,Final,June 2021,MD,Department of Treasury
1833.0,17392,EisDocuments-329260,Stanislaus National Forest Over-Snow Vehicle (OSV) Use Designation,Final,June 2021,CA,Forest Service
,17253,EisDocuments-328946,Travel Management on the Tonto National Forest,Final,May 2021,AZ,Forest Service
,17340,EisDocuments-329029,"American River Watershed Common Features, Water Resources Development Act of 2016 Project -- Sacramento Weir Widening",Final Supplement,May 2021,CA,U.S. Army Corps of Engineers
375.0,17275,EisDocuments-328008,Draft Amendment 13 to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Draft,May 2021,MD,National Marine Fisheries Service
,17373,EisDocuments-327861,"Training and Public Land Withdrawal Extension, Fort Irwin, California",Draft,May 2021,CA,United States Army
1130.0,17292,EisDocuments-327629,Navy Old Town Campus Revitalization,Draft,May 2021,CA,United States Navy
376.0,17293,EisDocuments-327229,Draft Amendment 53 to the Fishery Management Plan for the Reef Fish Fishery in the Gulf of Mexico,Draft,May 2021,,National Oceanic and Atmospheric Administration
1474.0,17301,EisDocuments-327623,Programmatic Environmental Impact Statement for the Marine Mammal Health and Stranding Response Program,Draft,May 2021,,National Marine Fisheries Service
1766.0,17291,EisDocuments-327301,South Lawrence Trafficway,Draft Supplement,May 2021,KS,Federal Highway Administration
377.0,17262,EisDocuments-326752,Draft Bighorn Sheep Management Plan Environmental Impact Statement,Draft,April 2021,OR,Fish and Wildlife Service
1338.0,17390,EisDocuments-326800,Phase 3 Reclamation District 17 Levee Seepage Repair Project,Final,April 2021,CA,U.S. Army Corps of Engineers
1294.0,17396,EisDocuments-326604,Oregon Passenger Rail Tier 1 Final Environmental Impact Statement/Combined Record of Decision for the Oregon Portion of the Pacific Northwest Rail Corridor (Portland to Eugene),Final,April 2021,OR,Federal Railroad Administration
1170.0,17259,EisDocuments-326561,"Newington-Dover, General Sullivan Bridge Spaulding Turnpike Improvements Project",Draft Supplement,April 2021,NH,Federal Highway Administration
124.0,17269,EisDocuments-326321,California High-Speed Rail San Jose to Merced Project Section Revised Draft Environmental Impact Report/Supplemental Draft Environmental Impact Statement,Draft Supplement,April 2021,CA,California High-Speed Rail Authority
1353.0,17267,EisDocuments-325641,Pinto Valley Mine,Final,April 2021,AZ,Forest Service
316.0,17321,EisDocuments-325982,Dallas CBD Second Light Rail Alignment (D2 Subway),Final,April 2021,TX,Federal Transit Administration
464.0,17290,EisDocuments-325141,Fort Peck Dam Test Releases,Draft,March 2021,MT,U.S. Army Corps of Engineers
148.0,17304,EisDocuments-325041,Cape Hatteras National Seashore Sediment Management Framework,Final,March 2021,NC,National Park Service
836.0,17362,EisDocuments-324576,LaGuardia Access Improvement Program,Final,March 2021,NY,Federal Aviation Administration
,17305,EisDocuments-323861,Vineyard Wind 1 Offshore Wind Energy Project,Final,March 2021,,Bureau of Ocean Energy Management
,17357,EisDocuments-323786,U.S. Highway 275 West Point to Scribner Expressway,Final,March 2021,NE,U.S. Army Corps of Engineers
1787.0,17379,EisDocuments-323993,Southern Bighorn Solar Projects,Draft,March 2021,NV,Bureau of Indian Affairs
209.0,17397,EisDocuments-323721,Chet Holifield Federal Building Tenant Relocation,Final,March 2021,CA,General Services Administration
617.0,17288,EisDocuments-323062,Haile Gold Mine,Draft Supplement,March 2021,SC,U.S. Army Corps of Engineers
207.0,17307,EisDocuments-323312,Chesapeake Bay Crossing Study Tier 1 NEPA,Draft,March 2021,MD,Federal Highway Administration
8000158.0,17371,EisDocuments-323086,"Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",Draft,March 2021,LA,U.S. Army Corps of Engineers
8000082.0,17286,EisDocuments-322521,Bakersfield to Palmdale Project Section: Revised Draft Environmental Impact Report/Supplemental Draft Environmental Impact Statement,Draft Supplement,February 2021,CA,California High-Speed Rail Authority
1393.0,17349,EisDocuments-322157,Prado Basin Water Conservation and Ecosystem Restoration Study,Final,February 2021,CA,U.S. Army Corps of Engineers
452.0,17365,EisDocuments-322071,Fort Benning Heavy Off-Road Mounted Maneuver Training Area,Final,February 2021,GA,United States Army
294.0,17363,EisDocuments-321903,Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan,Final,February 2021,CA,Bureau of Land Management
1806.0,17249,EisDocuments-321181,"Special Use Airspace Optimization to Support Existing Aircraft at Holloman Air Force Base, New Mexico",Final,February 2021,NM,United States Air Force
8000101.0,17270,EisDocuments-321421,Earthquake Ready Burnside Bridge,Draft,February 2021,OR,Federal Highway Administration
5000014.0,17376,EisDocuments-321290,Fifth Generation Formal Training Unit Optimization,Final,February 2021,,United States Air Force
1190.0,17325,EisDocuments-320821,North Alabama Utility-Scale Solar Facility,Draft,January 2021,AL,Tennessee Valley Authority
,17268,EisDocuments-320014,WITHDRAWN - Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan,Final,January 2021,CA,Bureau of Land Management
,17280,EisDocuments-319282,"WITHDRAWN - 36 CFR 228, Subpart A, Locatable Minerals",Draft,January 2021,,Forest Service
382.0,17319,EisDocuments-320090,Draft Environmental Impact Statement and Draft Section 4(f) Evaluation Baltimore-Washington Superconducting MAGLEV Project,Draft,January 2021,,Federal Railroad Administration
818.0,17324,EisDocuments-320045,King of Prussia Rail Extension Project,Final,January 2021,PA,Federal Transit Administration
5000000.0,17368,EisDocuments-319009,East Locust Creek Watershed Revised Plan,Final Supplement,January 2021,MO,Natural Resource Conservation Service
,17244,EisDocuments-318885,WITHDRAWN - Resolution Copper Project and Land Exchange,Final,January 2021,AZ,Forest Service
,17282,EisDocuments-318735,WITHDRAWN - Cook Inlet Planning Area Oil and Gas Lease Sale 258,Draft,January 2021,AK,Bureau of Ocean Energy Management
1538.0,17295,EisDocuments-318843,Relief Canyon Mine Expansion Project,Draft,January 2021,NV,Bureau of Land Management
876.0,17320,EisDocuments-318601,LEGISLATIVE - Reauthorization of the Barry M. Goldwater Range Land Withdrawal and Proposed Gila Bend Addition Land Withdrawal,Draft,January 2021,AZ,United States Air Force
,17398,EisDocuments-318781,WITHDRAWN - Desert Plan Amendment Draft Land Use Plan Amendment and Draft Environmental Impact Statement,Draft,January 2021,CA,Bureau of Land Management
1762.0,17333,EisDocuments-318421,South Fork Wind Farm and South Fork Export Cable Project,Draft,January 2021,,Bureau of Ocean Energy Management
406.0,17272,EisDocuments-317981,Draft Versatile Test Reactor Environment Impact Statement,Draft,December 2020,,Department of Energy
1535.0,17366,EisDocuments-318131,"Regulatory Impact Review, and Initial Regulatory Flexibility Analysis for Amending the Atlantic Large Whale Take Reduction Plan: Risk Reduction Rule",Draft,December 2020,,National Marine Fisheries Service
156.0,17351,EisDocuments-317815,Caribou-Targhee National Forest and Curlew National Grassland Integrated Weed Management Analysis,Draft,December 2020,ID,Forest Service
1375.0,17255,EisDocuments-317661,"Port Everglades Harbor, Broward County, Florida",Draft Supplement,December 2020,FL,U.S. Army Corps of Engineers
196.0,17246,EisDocuments-317081,Central Yukon Resource Management Plan,Draft,December 2020,AK,Bureau of Land Management
442.0,17254,EisDocuments-317293,Flower Garden Banks National Marine Sanctuary Expansion,Final,December 2020,,National Oceanic and Atmospheric Administration
423.0,17279,EisDocuments-316671,Final Supplement No. 2 to the 1982 Yazoo Area Pump Project Final EIS,Final Supplement,December 2020,MS,U.S. Army Corps of Engineers
4000017.0,17303,EisDocuments-317197,Arrow Canyon Solar Project,Final Supplement,December 2020,NV,Bureau of Indian Affairs
599.0,17314,EisDocuments-316450,Gulf of Alaska Navy Training Activities,Draft Supplement,December 2020,AK,United States Navy
1319.0,17316,EisDocuments-316777,Paradox Valley Unit of the Colorado River Basin Salinity Control Program,Final,December 2020,CO,Bureau of Reclamation
,17328,EisDocuments-316624,"Upper Barataria Basin, Louisiana Feasibility Study",Draft,December 2020,LA,U.S. Army Corps of Engineers
1080.0,17342,EisDocuments-316390,Mountain Valley Pipeline and Equitrans Expansion Project,Final Supplement,December 2020,,Forest Service
5000012.0,17243,EisDocuments-315723,F-35A Wing Beddown at Tyndall AFB and MQ-9 Wing Beddown at Tyndall AFB or Vandenberg AFB,Final,December 2020,,United States Air Force
1584.0,17266,EisDocuments-315792,Robinson Mine Plan of Operations Amendment,Draft,December 2020,NV,Bureau of Land Management
5000003.0,17296,EisDocuments-310930,Eastern North Dakota Alternate Water Supply Project,Final,December 2020,ND,Bureau of Reclamation
,17309,EisDocuments-315942,Thacker Pass Lithium Mine Project,Final,December 2020,NV,Bureau of Land Management
23.0,17346,EisDocuments-315824,Bering Sea-Western Interior Proposed Resource Management Plan and Final Environmental Impact Statement,Final,December 2020,AK,Bureau of Land Management
1531.0,17302,EisDocuments-314796,Regulations Governing Take of Migratory Birds,Final,November 2020,,Fish and Wildlife Service
1873.0,17367,EisDocuments-314833,Surry To Skiffes Creek To Whealton Transmission Project,Draft,November 2020,VA,U.S. Army Corps of Engineers
,17386,EisDocuments-314633,Texas Gulflink Deepwater Port License Application,Draft,November 2020,,U.S. Coast Guard
,17393,EisDocuments-314587,VOID - Stella Restoration Project,Draft,November 2020,OR,Forest Service
651.0,17250,EisDocuments-314171,Hood River - White Salmon Interstate Bridge Replacement Project,Draft Supplement,November 2020,OR,Federal Highway Administration
,17256,EisDocuments-313728,"Wyoming Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,WY,Bureau of Land Management
1249.0,17274,EisDocuments-313660,"Northwest Colorado Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,CO,Bureau of Land Management
1685.0,17338,EisDocuments-313900,Shasta Lake Water Resources Investigation,Final Supplement,November 2020,CA,Bureau of Reclamation
1139.0,17348,EisDocuments-313686,"Nevada and Northeastern California Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,,Bureau of Land Management
1287.0,17353,EisDocuments-313702,"Oregon Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,OR,Bureau of Land Management
706.0,17374,EisDocuments-313673,"Idaho Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,ID,Bureau of Land Management
,17375,EisDocuments-313501,The Management of Conflicts Associated with Double-crested Cormorants,Final,November 2020,,Fish and Wildlife Service
,17394,EisDocuments-313715,"Utah Final Supplemental EIS, Greater Sage-Grouse 2020",Final Supplement,November 2020,UT,Bureau of Land Management
371.0,17245,EisDocuments-313307,"Disposal of Mine Waste at the United Nuclear Corporation Mill Site in McKinley County, New Mexico",Draft,November 2020,NM,Nuclear Regulatory Commission
1004186.0,17359,EisDocuments-313202,ADOPTION - Skokomish River Ecosystem Restoration,Final,November 2020,WA,Natural Resource Conservation Service
271.0,17242,EisDocuments-312725,Construction and Operation of a Currency Production Facility,Draft,November 2020,MD,Department of Treasury
351.0,17297,EisDocuments-312946,Deschutes Basin Habitat Conservation Plan,Final,November 2020,OR,Fish and Wildlife Service
1345.0,17312,EisDocuments-312695,Pike & San Isabel National Forests Motorized Travel Management (MVUM) Analysis,Final,November 2020,CO,Forest Service
1740.0,17331,EisDocuments-312821,Sonoran Corridor Tier 1 Environmental Impact Statement,Draft,November 2020,AZ,Federal Highway Administration
30.0,17271,EisDocuments-312466,Big Cypress National Preserve Backcountry Access Plan,Draft,October 2020,FL,National Park Service
,17278,EisDocuments-311682,Uinta Basin Railway,Draft,October 2020,UT,Surface Transportation Board
895.0,17287,EisDocuments-311239,"Little River Band of Ottawa Indians, Michigan Trust Acquisition and Casino Project",Final,October 2020,MI,Bureau of Indian Affairs
1838.0,17298,EisDocuments-312143,Stella Restoration Project,Draft,October 2020,OR,Forest Service
1749.0,17334,EisDocuments-311544,"South Bridge Connector, Brown County, Wisconsin, Tier I",Final,October 2020,WI,Federal Highway Administration
244.0,17356,EisDocuments-312149,Coastal Texas Protection and Restoration Feasibility Study,Draft,October 2020,TX,U.S. Army Corps of Engineers
904.0,17384,EisDocuments-311796,"Long Range Discrimination Radar Operations, Clear Air Force Station, Alaska",Draft,October 2020,AK,Missile Defense Agency
1891.0,17276,EisDocuments-310998,Tejon Trust Acquisition and Casino Project,Final,October 2020,CA,Bureau of Indian Affairs
5000000.0,17335,EisDocuments-310867,East Locust Creek Watershed Revised Plan,Draft Supplement,October 2020,MO,Natural Resource Conservation Service
419.0,17377,EisDocuments-311081,Final Resource Management Plan Amendments/Environmental Impact Statement Wyoming Pipeline Corridor Initiative,Final,October 2020,WY,Bureau of Land Management
404.0,14902,EisDocuments-310441,Draft Supplement No. 2 to the Final Supplement No. 1 to the 1982 Yazoo Area Pump Project Final Environmental Impact Statement,Draft Supplement,October 2020,MS,U.S. Army Corps of Engineers
5000014.0,14949,EisDocuments-310239,Fifth Generation Formal Training Unit Optimization,Draft,October 2020,VA;FL,United States Air Force
633.0,15052,EisDocuments-308945,"Heat and Electrical Upgrades at Fort Wainwright, Alaska",Draft,October 2020,AK,United States Army
2000583.0,15143,EisDocuments-309225,Lee Canyon EIS,Final,October 2020,NV,Forest Service
2000752.0,15270,EisDocuments-308427,North Houston Highway Improvement Project,Final,October 2020,TX,Texas Department of Transportation
1477.0,15358,EisDocuments-308912,Project DeRenne Draft Environmental Impact Statement and Draft Section 4(f) Evaluation,Draft,October 2020,GA,Federal Highway Administration
726.0,15096,EisDocuments-307569,Integrated Non-Native Invasive Plant Management,Draft,October 2020,NM,Forest Service
1066.0,15221,EisDocuments-306391,Moody Air Force Base Comprehensive Airspace Initiative,Draft,September 2020,GA,United States Air Force
2000844.0,15326,EisDocuments-307241,Plutonium Pit Production at the Savannah River Site in South Carolina,Final,September 2020,SC,National Nuclear Security Administration
1597.0,15416,EisDocuments-306557,Rulemaking for Alaska Roadless Areas,Final,September 2020,AK,Forest Service
2001100.0,15512,EisDocuments-306534,Tampa Interstate Study,Final Supplement,September 2020,FL,Federal Highway Administration
2001133.0,15542,EisDocuments-307191,Truckee Canal Extraordinary Maintenance,Final,September 2020,CA,Bureau of Reclamation
149.0,14775,EisDocuments-306022,Cape Hatteras National Seashore Sediment Management Framework Draft Environmental Impact Statement,Draft,September 2020,NC,National Park Service
203.0,14798,EisDocuments-305552,Chehalis River Basin Flood Damage Reduction Project,Draft,September 2020,WA,U.S. Army Corps of Engineers
2000493.0,15071,EisDocuments-305996,Hungry Ridge Restoration Project,Final,September 2020,ID,Forest Service
2000773.0,15284,EisDocuments-305956,Northwest Training and Testing Activities Final Supplemental Environmental Impact Statement/Overseas Environmental Impact Statement,Final Supplement,September 2020,WA;OR;CA;AK,United States Navy
2000845.0,15331,EisDocuments-305991,Point Reyes National Seashore General Management Plan Amendment,Final,September 2020,CA,National Park Service
,15579,EisDocuments-305682,WITHDRAWN - Fossil Creek Wild and Scenic River Comprehensive River Management Plan,Final,September 2020,AZ,Forest Service
2000606.0,15156,EisDocuments-305341,Long Bridge Project,Final,September 2020,VA;DC,Federal Railroad Administration
1044.0,15214,EisDocuments-305141,Mitsubishi Cement Corporation South Quarry Plan of Operation,Final,September 2020,CA,Forest Service
1770.0,15470,EisDocuments-305041,South Revilla Integrated Resource Project,Draft,September 2020,AK,Forest Service
403.0,14901,EisDocuments-304801,"Draft Supplement II (SEIS II) to the Final Environmental Impact Statement, Mississippi River and Tributaries (MR&T) Project, Mississippi River Mainline Levees and Channel Improvement of 1976 (1976 EIS), as updated and supplemented by Supplement No. 1, Mississippi River and Tributaries Project, Mississippi River Mainline Levee Enlargement and Seepage Control of 1998 (1998 SEIS)",Draft Supplement,August 2020,TN;MS;LA,U.S. Army Corps of Engineers
2000570.0,15127,EisDocuments-304885,Lake Okeechobee Watershed Restoration Project,Final,August 2020,FL,U.S. Army Corps of Engineers
2000814.0,15312,EisDocuments-304373,Parley's Interchange; I-80/I-215 Eastside,Final,August 2020,UT,Utah Department of Transportation
2001067.0,15484,EisDocuments-304742,St. Elizabeth's Master Plan Amendment 2,Final Supplement,August 2020,DC,General Services Administration
2000636.0,15180,EisDocuments-304137,Malibu Creek Ecosystem Restoration Study,Final,August 2020,CA,U.S. Army Corps of Engineers
480.0,14987,EisDocuments-303783,Gallatin Impoundment Closure,Final,August 2020,TN,Tennessee Valley Authority
1844.0,15493,EisDocuments-303643,Stibnite Gold Project,Draft,August 2020,ID,Forest Service
2001233.0,15600,EisDocuments-303745,Willow Master Development Plan Final Environmental Impact Statement,Final,August 2020,AK,Bureau of Land Management
4000017.0,14708,EisDocuments-303463,Arrow Canyon Solar Project,Draft Supplement,August 2020,NV,Bureau of Indian Affairs
127.0,14772,EisDocuments-303141,California High-Speed Rail: Merced to Fresno Section: Central Valley Wye: Final Supplemental Environmental Impact Report/ Environmental Impact Statement,Final Supplement,August 2020,CA,California High-Speed Rail Authority
,14693,EisDocuments-302764,"American River Watershed Common Features, Water Resources Development Act of 2016 Project -- Sacramento Weir Widening",Draft Supplement,July 2020,CA,U.S. Army Corps of Engineers
62.0,14751,EisDocuments-302457,Boise River Basin Feasibility Study,Draft,July 2020,ID,Bureau of Reclamation
257.0,14819,EisDocuments-302301,Collier County Coastal Storm Risk Management Draft Integrated Feasibility Study and Environmental Impact Statement,Draft,July 2020,FL,U.S. Army Corps of Engineers
2000229.0,14823,EisDocuments-302981,Columbia River System Operations,Final,July 2020,ID;MT;OR;WA,U.S. Army Corps of Engineers
2000247.0,14837,EisDocuments-292621,Converse County Oil and Gas Project,Final,July 2020,WY,Bureau of Land Management
2000515.0,15088,EisDocuments-302661,"I-94 Modernization Project in Detroit, MI from I-96 to Conner Avenue Combined FSEIS and Record of Decision and Final Section 4(f) Evaluation",Final Supplement,July 2020,MI,Federal Highway Administration
1857.0,15499,EisDocuments-302398,"Summer Flounder Commercial Issues and Goals and Objectives Amendment: Amendment 21 to the Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan",Final,July 2020,,Department of Commerce
,15523,EisDocuments-302706,Thacker Pass Lithium Mine Project,Draft,July 2020,NV,Bureau of Land Management
426.0,14964,EisDocuments-301921,Final Supplemental Environmental Impact Statement for Soil Cleanup Activities at Santa Susana Field Laboratory,Final Supplement,July 2020,CA,National Aeronautics and Space Administration
456.0,14978,EisDocuments-301873,Fort Davison Army Airfield Area Development Plan,Draft,July 2020,MD,United States Army
208.0,14802,EisDocuments-299177,Chet Holifield Federal Building,Draft,July 2020,CA,General Services Administration
2000254.0,14844,EisDocuments-301727,Coral Reef Conservation Program Final Programmatic Environmental Impact Statement,Final,July 2020,PR;FL;HI;AS;GU,National Oceanic and Atmospheric Administration
2000293.0,14877,EisDocuments-301215,Don Pedro Hydroelectric Project and La Grange Hydroelectric Project,Final,July 2020,CA,Federal Energy Regulatory Commission
1379.0,15342,EisDocuments-301646,Port of Long Beach Pier B On-Dock Rail Support Facility Project,Draft,July 2020,CA,Maritime Administration
2001011.0,15449,EisDocuments-300485,Shasta Agness Landscape Restoration Project,Final,July 2020,OR,Forest Service
199.0,14795,EisDocuments-300801,"Champlain Parkway or Southern Connector Limited Scope Burlington, Vermont",Draft Supplement,July 2020,VT,Federal Highway Administration
2000088.0,14713,EisDocuments-298981,Auburn State Recreation Area Preliminary General Plan and Auburn Project Lands Draft Resource Management Plan Final Environmental Impact Report/Environmental Impact Statement,Final,June 2020,CA,Bureau of Reclamation
2000358.0,14968,EisDocuments-298862,Flat Country,Final,June 2020,OR,Forest Service
440.0,14969,EisDocuments-298852,Florida Keys Coastal Storm Risk Management Report/Environmental Impact Statement,Draft,June 2020,FL,U.S. Army Corps of Engineers
2000724.0,15250,EisDocuments-299087,National Petroleum Reserve in Alaska Final Integrated Activity Plan and Environmental Impact Statement,Final,June 2020,AK,Bureau of Land Management
5000012.0,14941,EisDocuments-298561,F-35A Wing Beddown at Tyndall AFB and MQ-9 Wing Beddown at Tyndall AFB or Vandenberg AFB,Draft,June 2020,FL;CA,United States Air Force
1748.0,15466,EisDocuments-298661,"South Bridge Connector, Brown County, Wisconsin, Tier 1 DEIS",Draft,June 2020,WI,Federal Highway Administration
1237.0,15277,EisDocuments-298221,"Northern Corridor - Highway Right-of-way, Issuance of an Incidental Take Permit, Draft EIS and Draft Resource Management Plan Amendments",Draft,June 2020,UT,Bureau of Land Management
1890.0,15514,EisDocuments-298361,Tejon Trust Acquisition and Casino Project,Draft,June 2020,CA,Bureau of Indian Affairs
2001188.0,15574,EisDocuments-298401,Vineyard Wind 1 Offshore Wind Energy Project,Draft Supplement,June 2020,MA;RI,Bureau of Ocean Energy Management
,15584,EisDocuments-298250,Washington Union Station Expansion Project,Draft,June 2020,DC,Federal Railroad Administration
848.0,15130,EisDocuments-297778,Lake Powell Pipeline Project,Draft,June 2020,UT,Bureau of Reclamation
959.0,15184,EisDocuments-297385,Management of Conflicts Associated with Double-crested Cormorants,Draft,June 2020,,Fish and Wildlife Service
2000644.0,15186,EisDocuments-297501,Mariana Islands Training and Testing,Final Supplement,June 2020,GU,United States Navy
1009.0,15198,EisDocuments-296550,Miami-Dade Back Bay Coastal Storm Risk Management Draft Integrated Feasibility Report and Programmatic Environmental Impact Statement,Draft,June 2020,FL,U.S. Army Corps of Engineers
1530.0,15385,EisDocuments-297321,Regulations Governing Take of Migratory Birds,Draft,June 2020,,Fish and Wildlife Service
,15603,EisDocuments-297466,Wisconsin Shipwreck Coast National Marine Sanctuary Designation,Final,June 2020,WI,National Oceanic and Atmospheric Administration
451.0,14977,EisDocuments-296565,Fort Benning Heavy Off-Road Mounted Maneuver Training Area,Draft,May 2020,GA,United States Army
,15605,EisDocuments-296558,Wright-Patterson Air Force Base Housing Program,Final,May 2020,OH,United States Air Force
2000131.0,14745,EisDocuments-296506,Blackrock Land Exchange Final Environmental Impact Statement,Final,May 2020,ID,Bureau of Land Management
5000003.0,14922,EisDocuments-296305,Eastern North Dakota Alternate Water Supply,Draft,May 2020,ND,Bureau of Reclamation
2000010.0,14647,EisDocuments-296232,2020 Thunder Basin National Grassland Plan Amendment,Final,May 2020,WY,Forest Service
5000016.0,14956,EisDocuments-296021,Final Environmental Impact Statement/Supplemental Environmental Impact Report for the Proposed Upper Santa Ana River Wash Habitat Conservation Plan,Final,May 2020,CA,Fish and Wildlife Service
8000132.0,14928,EisDocuments-295849,"Environmental Impact Statement for Interim Storage Partners LLC?s License Application for a Consolidated Interim Storage Facility for Spent Nuclear Fuel in Andrews County, Texas",Draft,May 2020,TX,Nuclear Regulatory Commission
2001067.0,15483,EisDocuments-295677,St. Elizabeth's Master Plan Amendment 2,Draft Supplement,May 2020,DC,General Services Administration
2000166.0,14770,EisDocuments-294965,Calf-Copeland Restoration Project,Final,April 2020,OR,Forest Service
2000740.0,15239,EisDocuments-295372,NJ Transitgrid Traction Power System,Final,April 2020,NJ,Federal Transit Administration
1364.0,15329,EisDocuments-295235,Point Mugu Sea Range,Draft,April 2020,CA,United States Navy
